IP:Port,Loss,Latency
162.159.195.253:8319,0%,2.96
162.159.195.207:7156,0%,3.01
162.159.192.149:5956,0%,3.10
162.159.195.80:4198,0%,3.11
162.159.195.247:7156,0%,3.12
162.159.192.44:3854,0%,3.16
162.159.192.198:4233,0%,3.17
162.159.192.90:1018,0%,3.30
162.159.195.101:1070,0%,3.42
162.159.195.140:1014,0%,3.49
162.159.195.95:864,0%,3.54
162.159.192.38:4177,0%,3.60
162.159.192.22:943,0%,3.66
162.159.195.81:1701,0%,3.69
162.159.192.169:1070,0%,3.76
162.159.195.122:955,0%,3.78
162.159.195.75:4500,0%,3.97
162.159.195.153:878,0%,4.01
162.159.192.179:939,0%,4.16
162.159.195.118:854,0%,4.34
162.159.192.124:3138,0%,4.45
162.159.192.175:1070,0%,8.03
162.159.195.169:968,0%,8.32
162.159.192.215:891,0%,8.34
162.159.192.144:1018,0%,8.40
162.159.195.51:908,0%,8.41
162.159.192.70:7156,0%,8.42
162.159.195.39:854,0%,8.46
162.159.195.188:4198,0%,8.46
162.159.192.49:7152,0%,8.67
162.159.195.166:5956,0%,8.86
162.159.195.171:7152,0%,8.87
162.159.192.106:8886,0%,8.87
162.159.192.234:987,0%,8.90
162.159.195.52:968,0%,8.92
162.159.192.155:7281,0%,8.95
162.159.192.141:942,0%,8.95
162.159.195.189:859,0%,9.00
162.159.192.53:5279,0%,9.04
162.159.195.185:890,0%,9.07
162.159.195.57:1180,0%,9.13
162.159.192.41:1070,0%,9.14
162.159.195.28:1002,0%,9.15
162.159.195.120:968,0%,9.15
162.159.195.170:946,0%,9.19
162.159.195.190:968,0%,9.20
162.159.192.153:987,0%,9.21
162.159.192.253:8742,0%,9.21
162.159.192.174:8319,0%,9.22
162.159.195.6:987,0%,9.26
162.159.195.58:880,0%,9.27
162.159.195.112:1180,0%,9.34
162.159.192.231:864,0%,9.40
162.159.192.232:1843,0%,9.42
162.159.195.229:4177,0%,9.47
162.159.192.238:939,0%,9.51
162.159.195.18:7152,0%,9.53
162.159.192.77:1180,0%,9.54
162.159.192.249:1843,0%,9.56
162.159.192.56:5279,0%,9.57
162.159.192.0:891,0%,9.59
162.159.195.146:945,0%,9.59
